segment_id,reference,prediction_raw,prediction_norm,error,lossy,lossy_label,type2,recording_type,gender,gender_label,agegrp,age_group,reference_norm,wer,cer,kr,ped,reference_phonemes,prediction_phonemes,sem,ref_len,pred_len,is_empty_prediction
L_SD_F4_MS021_01_00000,jos apibrėžimą problemą tikslą tyrimo eigą rezultatus išvadose trumpai bus įsivertinama," suplibrežimo, problema, tiksla, tyrimojai ir rezultatus išvadas ir trumpai bus įsiverta.",suplibrežimo problema tiksla tyrimojai ir rezultatus išvadas ir trumpai bus įsiverta,,L,Lossy,SD,Spontaneous-Dictaphone,F,Female,4,26–60,jos apibrėžimą problemą tikslą tyrimo eigą rezultatus išvadose trumpai bus įsivertinama,0.8181818181818182,0.25287356321839083,0.25,0.25892857142857145,joːs ɐpʲɪbʲrʲeːʒʲɪmaː proːblʲɛmaː tʲɪksɫaː tʲiːrʲɪmoː ɛɪɡaː rʲɛzʊɫtɐtʊs ɪʃvɐdoːsʲɛ trʊmpɐɪ bʊs iːsʲɪvʲɛrʲtʲɪnɐmɐ,sʊplʲɪbʲrʲɛʒʲɪmoː proːblʲɛmɐ tʲɪksɫɐ tʲiːrʲɪmoːjɐɪ ɪr rʲɛzʊɫtɐtʊs ɪʃvɐdɐs ɪr trʊmpɐɪ bʊs iːsʲɪvʲɛrtɐ,0.84594613,87,84,0
L_SD_F4_MS021_01_00002,tai visų pirma kas yra alerginis rinitas," Tai vis pirma, kas yra alerginis trenetas.",tai vis pirma kas yra alerginis trenetas,,L,Lossy,SD,Spontaneous-Dictaphone,F,Female,4,26–60,tai visų pirma kas yra alerginis rinitas,0.2857142857142857,0.1,0.5,0.12,tɐɪ vʲɪsuː pʲɪrmɐ kɐs iːrɐ ɐlʲɛrʲɡʲɪnʲɪs rʲɪnʲɪtɐs,tɐɪ vʲɪs pʲɪrmɐ kɐs iːrɐ ɐlʲɛrʲɡʲɪnʲɪs tʲrʲɛnʲɛtɐs,0.957921,40,40,0
L_SD_F4_MS021_01_00003,liga pasireiškianti šiais simtomais, pasireiškinti šiais simptomais,pasireiškinti šiais simptomais,,L,Lossy,SD,Spontaneous-Dictaphone,F,Female,4,26–60,liga pasireiškianti šiais simtomais,0.75,0.2,0.25,0.1951219512195122,lʲɪɡɐ pɐsʲɪrʲɛɪɕkʲɛnʲtʲɪ ɕɛɪs sʲɪmtoːmɐɪs,pɐsʲɪrʲɛɪɕkʲɪnʲtʲɪ ɕɛɪs sʲɪmptoːmɐɪs,0.42002526,35,30,0
L_SD_F4_MS021_01_00004,čiauduliu gausiomis vandeningomis išskyromis iš nosies paburkusia bei paraudusia gleivine tai šie simptomai jums puikiai žinomi tai sloga," Šiaudulių gausimis vaideningomis išskiriamis iš nuosės, paburkusiai ar jai parodusia gleivinė. Tai šie simptome jums puikiai žinome, tai slaga.",šiaudulių gausimis vaideningomis išskiriamis iš nuosės paburkusiai ar jai parodusia gleivinė tai šie simptome jums puikiai žinome tai slaga,,L,Lossy,SD,Spontaneous-Dictaphone,F,Female,4,26–60,čiauduliu gausiomis vandeningomis išskyromis iš nosies paburkusia bei paraudusia gleivine tai šie simptomai jums puikiai žinomi tai sloga,0.7222222222222222,0.1678832116788321,0.0,0.1951219512195122,t͡ɕɛʊdʊlʲɪʊ ɡɐʊsʲoː˖mʲɪs vɐnʲdʲɛnʲɪŋɡoːmʲɪs ɪɕsʲkʲiːroːmʲɪs ɪʃ noːsʲiɛs pɐbʊrkʊsʲɛ bʲɛɪ pɐrɐʊdʊsʲɛ ɡlʲɛɪvʲɪnʲɛ tɐɪ ɕiɛ sʲɪmptoːmɐɪ jʊms pʊɪkʲɛɪ ʒʲɪnoːmʲɪ tɐɪ sɫoːɡɐ,ɕɛʊdʊlʲɪuː ɡɐʊsʲɪmʲɪs vɐɪdʲɛnʲɪŋɡoːmʲɪs ɪɕsʲkʲɪrʲɛmʲɪs ɪʃ nuɔsʲeːs pɐbʊrkʊsʲɛɪ ɐr jɐɪ pɐroːdʊsʲɛ ɡlʲɛɪvʲɪnʲeː tɐɪ ɕiɛ sʲɪmptoːmʲɛ jʊms pʊɪkʲɛɪ ʒʲɪnoːmʲɛ tɐɪ sɫɐɡɐ,0.81365174,137,139,0
L_SD_F4_MS021_01_00006,tačiau ne paprasta o alerginė," Tačiau, napaprasta, o alergina.",tačiau napaprasta o alergina,,L,Lossy,SD,Spontaneous-Dictaphone,F,Female,4,26–60,tačiau ne paprasta o alerginė,0.6,0.10344827586206896,0.3333333333333333,0.16216216216216217,tɐt͡ɕɛʊ nʲɛ pɐprɐstɐ oː ɐlʲɛrʲɡʲɪnʲeː,tɐt͡ɕɛʊ nɐpɐprɐstɐ oː ɐlʲɛrʲɡʲɪnɐ,0.90568554,29,28,0
L_SD_F4_MS021_01_00007,jeigu tikslus alerginio rinito apibrėžimas tai alergeno ir imunoglobulino e sukeltas nosies gleivinės uždegimas," Jeigu tikslus alerginio rinito apibrižimas, tai alergeno ir imeno globalino S sukeltas nosės greivinės išdeigimas.",jeigu tikslus alerginio rinito apibrižimas tai alergeno ir imeno globalino s sukeltas nosės greivinės išdeigimas,,L,Lossy,SD,Spontaneous-Dictaphone,F,Female,4,26–60,jeigu tikslus alerginio rinito apibrėžimas tai alergeno ir imunoglobulino e sukeltas nosies gleivinės uždegimas,0.5,0.0990990990990991,0.75,0.1048951048951049,jɛɪɡʊ tʲɪksɫʊs ɐlʲɛrʲɡʲɪnʲoː˖ rʲɪnʲɪtoː ɐpʲɪbʲrʲeːʒʲɪmɐs tɐɪ ɐlʲɛrʲɡʲɛnoː ɪr ɪmʊnoːɡɫoːbʊlʲɪnoː ɛ sʊkʲɛɫtɐs noːsʲiɛs ɡlʲɛɪvʲɪnʲeːs ʊʒʲdʲɛɡʲɪmɐs,jɛɪɡʊ tʲɪksɫʊs ɐlʲɛrʲɡʲɪnʲoː˖ rʲɪnʲɪtoː ɐpʲɪbʲrʲɪʒʲɪmɐs tɐɪ ɐlʲɛrʲɡʲɛnoː ɪr ɪmʲɛnoː ɡɫoːbɐlʲɪnoː s sʊkʲɛɫtɐs noːsʲeːs ɡʲrʲɛɪvʲɪnʲeːs ɪɕdʲɛɪɡʲɪmɐs,0.93264824,111,112,0
L_SD_F4_MS021_01_00009,dabar trumpai pakalbėsime kas vyksta kai alergenas pavyzdžiui žiedadulkė patenka," Dabar trumpai pagalbėsime, kas vyksta, kai alergenas, pavyzdžiui, žiedadalkė patenka...",dabar trumpai pagalbėsime kas vyksta kai alergenas pavyzdžiui žiedadalkė patenka,,L,Lossy,SD,Spontaneous-Dictaphone,F,Female,4,26–60,dabar trumpai pakalbėsime kas vyksta kai alergenas pavyzdžiui žiedadulkė patenka,0.2,0.025,0.75,0.020202020202020204,dɐbɐr trʊmpɐɪ pɐkɐlʲbʲeːsʲɪmʲɛ kɐs vʲiːkstɐ kɐɪ ɐlʲɛrʲɡʲɛnɐs pɐvʲiːʑd͡ʒʲʊ˖ɪ ʒʲiɛdɐdʊlʲkʲeː pɐtʲɛŋkɐ,dɐbɐr trʊmpɐɪ pɐɡɐlʲbʲeːsʲɪmʲɛ kɐs vʲiːkstɐ kɐɪ ɐlʲɛrʲɡʲɛnɐs pɐvʲiːʑd͡ʒʲʊ˖ɪ ʒʲiɛdɐdɐlʲkʲeː pɐtʲɛŋkɐ,0.9678334,80,80,0
L_SD_F4_MS021_01_00012,į mūsų organizmą į nosį tai antigeną paveikianti ląstelė sąveikauja su t haš du limfocitu helperiu kuris išskiria interliaukinus kurie suaktyvina b liaukocitus ir jie pradeda gaminti antikūnus štai tie raudoni," Į mūsų organizmą įnosi antigeną pateikinti ląstelę, sąveikojasi ta ašdu limfocytų helperiu, kuris išskiria interleukinus, kurie suaktyvina B limfocytus ir jie pradeda gaminti antikūnus štai štie raudo.",į mūsų organizmą įnosi antigeną pateikinti ląstelę sąveikojasi ta ašdu limfocytų helperiu kuris išskiria interleukinus kurie suaktyvina b limfocytus ir jie pradeda gaminti antikūnus štai štie raudo,,L,Lossy,SD,Spontaneous-Dictaphone,F,Female,4,26–60,į mūsų organizmą į nosį tai antigeną paveikianti ląstelė sąveikauja su t haš du limfocitu helperiu kuris išskiria interliaukinus kurie suaktyvina b liaukocitus ir jie pradeda gaminti antikūnus štai tie raudoni,0.4838709677419355,0.12440191387559808,0.375,0.11895910780669144,iː muːsuː oːrɡɐnʲɪzmaː iː noːsʲiː tɐɪ ɐnʲtʲɪɡʲɛnaː pɐvʲɛɪkʲɛnʲtʲɪ ɫaːsʲtʲɛlʲeː saːvʲɛɪkɐʊjɐ sʊ t ɦɐʃ dʊ lʲɪɱfoːt͡sʲɪtʊ ɦʲɛlʲpʲɛrʲʊ˖ kʊrʲɪs ɪɕsʲkʲɪrʲɛ ɪnʲtʲɛrlʲɪɐʊkʲɪnʊs kʊrʲiɛ sʊɐkʲtʲiːvʲɪnɐ b lʲɪɐʊkoːt͡sʲɪtʊs ɪr jiɛ prɐdʲɛdɐ ɡɐmʲɪnʲtʲɪ ɐnʲtʲɪkuːnʊs ʃtɐɪ tʲiɛ rɐʊdoːnʲɪ,iː muːsuː oːrɡɐnʲɪzmaː iːnoːsʲɪ ɐnʲtʲɪɡʲɛnaː pɐtʲɛɪkʲɪnʲtʲɪ ɫaːsʲtʲɛlʲæː saːvʲɛɪkoːjɐsʲɪ tɐ ɐʃdʊ lʲɪɱfoːt͡sʲiːtuː ɦʲɛlʲpʲɛrʲʊ˖ kʊrʲɪs ɪɕsʲkʲɪrʲɛ ɪnʲtʲɛrlʲɛʊkʲɪnʊs kʊrʲiɛ sʊɐkʲtʲiːvʲɪnɐ b lʲɪɱfoːt͡sʲiːtʊs ɪr jiɛ prɐdʲɛdɐ ɡɐmʲɪnʲtʲɪ ɐnʲtʲɪkuːnʊs ʃtɐɪ ɕtʲiɛ rɐʊdoː,0.8389382,209,197,0
L_SD_F4_MS021_01_00016,tada antikūnai prisijungia prie ezinofilų ir putliųjų ląstelių, Tada antikūnai prisijungė prie eosinofilų ir kutliųjų ląstelių.,tada antikūnai prisijungė prie eosinofilų ir kutliųjų ląstelių,,L,Lossy,SD,Spontaneous-Dictaphone,F,Female,4,26–60,tada antikūnai prisijungia prie ezinofilų ir putliųjų ląstelių,0.375,0.08064516129032258,0.5714285714285714,0.08641975308641975,tɐdɐ ɐnʲtʲɪkuːnɐɪ pʲrʲɪsʲɪjʊŋɡʲɛ pʲrʲiɛ ɛʑɪnoːfʲɪɫuː ɪr pʊtlʲɪuːjuː ɫaːsʲtʲɛlʲɪuː,tɐdɐ ɐnʲtʲɪkuːnɐɪ pʲrʲɪsʲɪjʊŋɡʲeː pʲrʲiɛ ɛoːsʲɪnoːfʲɪɫuː ɪr kʊtlʲɪuːjuː ɫaːsʲtʲɛlʲɪuː,0.8785049,62,62,0
L_SD_F4_MS021_01_00017,kuomet, pamat,pamat,,L,Lossy,SD,Spontaneous-Dictaphone,F,Female,4,26–60,kuomet,1.0,0.6666666666666666,0.0,0.7142857142857143,kuɔmʲɛt,pɐmɐt,0.84985167,6,5,0
L_SD_F4_MS021_01_00018,jie prisijungia tada prisijungia ir elergenas ir," Jie prisijungia, tada prisijungia ir alergenas ir...",jie prisijungia tada prisijungia ir alergenas ir,,L,Lossy,SD,Spontaneous-Dictaphone,F,Female,4,26–60,jie prisijungia tada prisijungia ir elergenas ir,0.14285714285714285,0.020833333333333332,0.6666666666666666,0.017543859649122806,jiɛ pʲrʲɪsʲɪjʊŋɡʲɛ tɐdɐ pʲrʲɪsʲɪjʊŋɡʲɛ ɪr ɛlʲɛrʲɡʲɛnɐs ɪr,jiɛ pʲrʲɪsʲɪjʊŋɡʲɛ tɐdɐ pʲrʲɪsʲɪjʊŋɡʲɛ ɪr ɐlʲɛrʲɡʲɛnɐs ɪr,0.72642106,48,48,0
L_SD_F4_MS021_01_00021,jiems susijugus įvyksta alerginė reakcija," jiems susijungus įvyksta labiiniu reakciju,",jiems susijungus įvyksta labiiniu reakciju,,L,Lossy,SD,Spontaneous-Dictaphone,F,Female,4,26–60,jiems susijugus įvyksta alerginė reakcija,0.6,0.1951219512195122,0.4,0.2037037037037037,jiɛms sʊsʲɪjʊɡʊs iːvʲiːkstɐ ɐlʲɛrʲɡʲɪnʲeː rʲɛkʲt͡sʲɪjɐ,jiɛms sʊsʲɪjʊŋɡʊs iːvʲiːkstɐ ɫɐbʲɪɪnʲʊ˖ rʲɛkʲt͡sʲɪjʊ,0.51246214,41,42,0
L_SD_F4_MS021_01_00023,ląstelės sprogimas, ląstelės progimas.,ląstelės progimas,,L,Lossy,SD,Spontaneous-Dictaphone,F,Female,4,26–60,ląstelės sprogimas,0.5,0.05555555555555555,0.5,0.04,ɫaːsʲtʲɛlʲeːs sproːɡʲɪmɐs,ɫaːsʲtʲɛlʲeːs proːɡʲɪmɐs,0.72309613,18,17,0
