segment_id,reference,prediction_raw,prediction_norm,error,lossy,lossy_label,type2,recording_type,gender,gender_label,agegrp,age_group,reference_norm,wer,cer,kr,ped,reference_phonemes,prediction_phonemes,sem,ref_len,pred_len,is_empty_prediction
L_SD_F4_MS021_01_00000,jos apibrėžimą problemą tikslą tyrimo eigą rezultatus išvadose trumpai bus įsivertinama,jo supriežimo problemą tikslą tyrimo eigą rezultatus išvadose ir trumpai bus įsiverti,jo supriežimo problemą tikslą tyrimo eigą rezultatus išvadose ir trumpai bus įsiverti,,L,Lossy,SD,Spontaneous-Dictaphone,F,Female,4,26–60,jos apibrėžimą problemą tikslą tyrimo eigą rezultatus išvadose trumpai bus įsivertinama,0.36363636363636365,0.1724137931034483,0.875,0.14285714285714285,joːs ɐpʲɪbʲrʲeːʒʲɪmaː proːblʲɛmaː tʲɪksɫaː tʲiːrʲɪmoː ɛɪɡaː rʲɛzʊɫtɐtʊs ɪʃvɐdoːsʲɛ trʊmpɐɪ bʊs iːsʲɪvʲɛrʲtʲɪnɐmɐ,joː sʊpʲrʲiɛʒʲɪmoː proːblʲɛmaː tʲɪksɫaː tʲiːrʲɪmoː ɛɪɡaː rʲɛzʊɫtɐtʊs ɪʃvɐdoːsʲɛ ɪr trʊmpɐɪ bʊs iːsʲɪvʲɛrʲtʲɪ,0.89991856,87,85,0
L_SD_F4_MS021_01_00002,tai visų pirma kas yra alerginis rinitas,tai visų pirma kas yra verginis renitas,tai visų pirma kas yra verginis renitas,,L,Lossy,SD,Spontaneous-Dictaphone,F,Female,4,26–60,tai visų pirma kas yra alerginis rinitas,0.2857142857142857,0.075,0.5,0.06,tɐɪ vʲɪsuː pʲɪrmɐ kɐs iːrɐ ɐlʲɛrʲɡʲɪnʲɪs rʲɪnʲɪtɐs,tɐɪ vʲɪsuː pʲɪrmɐ kɐs iːrɐ vʲɛrʲɡʲɪnʲɪs rʲɛnʲɪtɐs,0.30359182,40,39,0
L_SD_F4_MS021_01_00003,liga pasireiškianti šiais simtomais,liega pasireiškinti šiais simptomais,liega pasireiškinti šiais simptomais,,L,Lossy,SD,Spontaneous-Dictaphone,F,Female,4,26–60,liga pasireiškianti šiais simtomais,0.75,0.08571428571428572,0.25,0.0975609756097561,lʲɪɡɐ pɐsʲɪrʲɛɪɕkʲɛnʲtʲɪ ɕɛɪs sʲɪmtoːmɐɪs,lʲiɛɡɐ pɐsʲɪrʲɛɪɕkʲɪnʲtʲɪ ɕɛɪs sʲɪmptoːmɐɪs,0.4286604,35,36,0
L_SD_F4_MS021_01_00004,čiauduliu gausiomis vandeningomis išskyromis iš nosies paburkusia bei paraudusia gleivine tai šie simptomai jums puikiai žinomi tai sloga,čiaudulių gausomis vandeningomis išskiriamis iš nosės paburkusia bei parodusia glivinė tai šie simptomai jums puikiai žinome tai slaga,čiaudulių gausomis vandeningomis išskiriamis iš nosės paburkusia bei parodusia glivinė tai šie simptomai jums puikiai žinome tai slaga,,L,Lossy,SD,Spontaneous-Dictaphone,F,Female,4,26–60,čiauduliu gausiomis vandeningomis išskyromis iš nosies paburkusia bei paraudusia gleivine tai šie simptomai jums puikiai žinomi tai sloga,0.4444444444444444,0.0948905109489051,0.25,0.10975609756097561,t͡ɕɛʊdʊlʲɪʊ ɡɐʊsʲoː˖mʲɪs vɐnʲdʲɛnʲɪŋɡoːmʲɪs ɪɕsʲkʲiːroːmʲɪs ɪʃ noːsʲiɛs pɐbʊrkʊsʲɛ bʲɛɪ pɐrɐʊdʊsʲɛ ɡlʲɛɪvʲɪnʲɛ tɐɪ ɕiɛ sʲɪmptoːmɐɪ jʊms pʊɪkʲɛɪ ʒʲɪnoːmʲɪ tɐɪ sɫoːɡɐ,t͡ɕɛʊdʊlʲɪuː ɡɐʊsoːmʲɪs vɐnʲdʲɛnʲɪŋɡoːmʲɪs ɪɕsʲkʲɪrʲɛmʲɪs ɪʃ noːsʲeːs pɐbʊrkʊsʲɛ bʲɛɪ pɐroːdʊsʲɛ ɡlʲɪvʲɪnʲeː tɐɪ ɕiɛ sʲɪmptoːmɐɪ jʊms pʊɪkʲɛɪ ʒʲɪnoːmʲɛ tɐɪ sɫɐɡɐ,0.9634842,137,134,0
L_SD_F4_MS021_01_00006,tačiau ne paprasta o alerginė,tačiau nepaprasta o alergini,tačiau nepaprasta o alergini,,L,Lossy,SD,Spontaneous-Dictaphone,F,Female,4,26–60,tačiau ne paprasta o alerginė,0.6,0.06896551724137931,0.3333333333333333,0.08108108108108109,tɐt͡ɕɛʊ nʲɛ pɐprɐstɐ oː ɐlʲɛrʲɡʲɪnʲeː,tɐt͡ɕɛʊ nʲɛpɐprɐstɐ oː ɐlʲɛrʲɡʲɪnʲɪ,0.8857308,29,28,0
L_SD_F4_MS021_01_00007,jeigu tikslus alerginio rinito apibrėžimas tai alergeno ir imunoglobulino e sukeltas nosies gleivinės uždegimas,jeigu tikslus alerginio linijų topy priežiūrės tai alergeno ir imenoglobulino e sukeltas nosės greivinės uždeigimas,jeigu tikslus alerginio linijų topy priežiūrės tai alergeno ir imenoglobulino e sukeltas nosės greivinės uždeigimas,,L,Lossy,SD,Spontaneous-Dictaphone,F,Female,4,26–60,jeigu tikslus alerginio rinito apibrėžimas tai alergeno ir imunoglobulino e sukeltas nosies gleivinės uždegimas,0.5,0.16216216216216217,0.625,0.18181818181818182,jɛɪɡʊ tʲɪksɫʊs ɐlʲɛrʲɡʲɪnʲoː˖ rʲɪnʲɪtoː ɐpʲɪbʲrʲeːʒʲɪmɐs tɐɪ ɐlʲɛrʲɡʲɛnoː ɪr ɪmʊnoːɡɫoːbʊlʲɪnoː ɛ sʊkʲɛɫtɐs noːsʲiɛs ɡlʲɛɪvʲɪnʲeːs ʊʒʲdʲɛɡʲɪmɐs,jɛɪɡʊ tʲɪksɫʊs ɐlʲɛrʲɡʲɪnʲoː˖ lʲɪnʲɪjuː toːpʲiː pʲrʲiɛʒʲuː˖rʲeːs tɐɪ ɐlʲɛrʲɡʲɛnoː ɪr ɪmʲɛnoːɡɫoːbʊlʲɪnoː ɛ sʊkʲɛɫtɐs noːsʲeːs ɡʲrʲɛɪvʲɪnʲeːs ʊʒʲdʲɛɪɡʲɪmɐs,0.8529353,111,115,0
L_SD_F4_MS021_01_00009,dabar trumpai pakalbėsime kas vyksta kai alergenas pavyzdžiui žiedadulkė patenka,dabar trumpai pakalbėsime kas vyksta kai alergenas pavyzdžiui žiedadalkė patenka,dabar trumpai pakalbėsime kas vyksta kai alergenas pavyzdžiui žiedadalkė patenka,,L,Lossy,SD,Spontaneous-Dictaphone,F,Female,4,26–60,dabar trumpai pakalbėsime kas vyksta kai alergenas pavyzdžiui žiedadulkė patenka,0.1,0.0125,0.875,0.010101010101010102,dɐbɐr trʊmpɐɪ pɐkɐlʲbʲeːsʲɪmʲɛ kɐs vʲiːkstɐ kɐɪ ɐlʲɛrʲɡʲɛnɐs pɐvʲiːʑd͡ʒʲʊ˖ɪ ʒʲiɛdɐdʊlʲkʲeː pɐtʲɛŋkɐ,dɐbɐr trʊmpɐɪ pɐkɐlʲbʲeːsʲɪmʲɛ kɐs vʲiːkstɐ kɐɪ ɐlʲɛrʲɡʲɛnɐs pɐvʲiːʑd͡ʒʲʊ˖ɪ ʒʲiɛdɐdɐlʲkʲeː pɐtʲɛŋkɐ,0.9936806,80,80,0
L_SD_F4_MS021_01_00012,į mūsų organizmą į nosį tai antigeną paveikianti ląstelė sąveikauja su t haš du limfocitu helperiu kuris išskiria interliaukinus kurie suaktyvina b liaukocitus ir jie pradeda gaminti antikūnus štai tie raudoni,į mūsų organizmą į nosą tai antigeną pateikiantį ląstelę sąveikoja stagasdų limfocytų helperių kuris išskiria interleukinus kurie suaktyvina b-limfocytus ir jie pradeda gaminti antikūnus štai šitie raudo,į mūsų organizmą į nosą tai antigeną pateikiantį ląstelę sąveikoja stagasdų limfocytų helperių kuris išskiria interleukinus kurie suaktyvina b limfocytus ir jie pradeda gaminti antikūnus štai šitie raudo,,L,Lossy,SD,Spontaneous-Dictaphone,F,Female,4,26–60,į mūsų organizmą į nosį tai antigeną paveikianti ląstelė sąveikauja su t haš du limfocitu helperiu kuris išskiria interliaukinus kurie suaktyvina b liaukocitus ir jie pradeda gaminti antikūnus štai tie raudoni,0.45161290322580644,0.12440191387559808,0.25,0.12639405204460966,iː muːsuː oːrɡɐnʲɪzmaː iː noːsʲiː tɐɪ ɐnʲtʲɪɡʲɛnaː pɐvʲɛɪkʲɛnʲtʲɪ ɫaːsʲtʲɛlʲeː saːvʲɛɪkɐʊjɐ sʊ t ɦɐʃ dʊ lʲɪɱfoːt͡sʲɪtʊ ɦʲɛlʲpʲɛrʲʊ˖ kʊrʲɪs ɪɕsʲkʲɪrʲɛ ɪnʲtʲɛrlʲɪɐʊkʲɪnʊs kʊrʲiɛ sʊɐkʲtʲiːvʲɪnɐ b lʲɪɐʊkoːt͡sʲɪtʊs ɪr jiɛ prɐdʲɛdɐ ɡɐmʲɪnʲtʲɪ ɐnʲtʲɪkuːnʊs ʃtɐɪ tʲiɛ rɐʊdoːnʲɪ,iː muːsuː oːrɡɐnʲɪzmaː iː noːsaː tɐɪ ɐnʲtʲɪɡʲɛnaː pɐtʲɛɪkʲɛnʲtʲiː ɫaːsʲtʲɛlʲæː saːvʲɛɪkoːjɐ stɐɡɐsduː lʲɪɱfoːt͡sʲiːtuː ɦʲɛlʲpʲɛrʲuː˖ kʊrʲɪs ɪɕsʲkʲɪrʲɛ ɪnʲtʲɛrlʲɛʊkʲɪnʊs kʊrʲiɛ sʊɐkʲtʲiːvʲɪnɐ b lʲɪɱfoːt͡sʲiːtʊs ɪr jiɛ prɐdʲɛdɐ ɡɐmʲɪnʲtʲɪ ɐnʲtʲɪkuːnʊs ʃtɐɪ ɕɪtʲiɛ rɐʊdoː,0.9224173,209,203,0
L_SD_F4_MS021_01_00016,tada antikūnai prisijungia prie ezinofilų ir putliųjų ląstelių,tada antikūnai prisijungė prie eosinofilų ir kutlių į ląstelių,tada antikūnai prisijungė prie eosinofilų ir kutlių į ląstelių,,L,Lossy,SD,Spontaneous-Dictaphone,F,Female,4,26–60,tada antikūnai prisijungia prie ezinofilų ir putliųjų ląstelių,0.5,0.11290322580645161,0.5714285714285714,0.1111111111111111,tɐdɐ ɐnʲtʲɪkuːnɐɪ pʲrʲɪsʲɪjʊŋɡʲɛ pʲrʲiɛ ɛʑɪnoːfʲɪɫuː ɪr pʊtlʲɪuːjuː ɫaːsʲtʲɛlʲɪuː,tɐdɐ ɐnʲtʲɪkuːnɐɪ pʲrʲɪsʲɪjʊŋɡʲeː pʲrʲiɛ ɛoːsʲɪnoːfʲɪɫuː ɪr kʊtlʲɪuː iː ɫaːsʲtʲɛlʲɪuː,0.8900274,62,62,0
L_SD_F4_MS021_01_00017,kuomet,pamėt,pamėt,,L,Lossy,SD,Spontaneous-Dictaphone,F,Female,4,26–60,kuomet,1.0,0.6666666666666666,0.0,0.7142857142857143,kuɔmʲɛt,pɐmʲeːt,0.758513,6,5,0
